date,Original TLAQ,Beta>1.00; SVXY x0.75,Beta>1.00; SVXY x0.50,Beta>1.25; SVXY x0.75,Beta>1.25; SVXY x0.50,Beta>1.50; SVXY x0.75,Beta>1.50; SVXY x0.50,Beta>1.50; SVXY x0.00,Prior joint-down; SVXY x0.75,Prior joint-down; SVXY x0.50,Prior joint-down; SVXY x0.00
2012-01-05,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718,0.006117458726101718
2012-01-06,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035,0.0008552271497297035
2012-01-09,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933,0.002365089661437933
2012-01-10,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902,0.01665483588195902
2012-01-11,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051,0.005783638492909051
2012-01-12,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211,0.005036000279540211
2012-01-13,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362,-0.005569131575666362
2012-01-17,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073,0.00801778608142073
2012-01-18,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383,0.009237231677300383
2012-01-19,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668,0.0008297356637431668
2012-01-20,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654,0.003240653033110654
2012-01-23,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643,0.005222911649202643
2012-01-24,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011,-0.00334470563655011
2012-01-25,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277,0.023211734865417277
