date,rolling_beta
2001-06-15,
2001-06-18,
2001-06-19,
2001-06-20,
2001-06-21,
2001-06-22,
2001-06-25,
2001-06-26,
2001-06-27,
2001-06-28,
2001-06-29,
2001-07-02,
2001-07-03,
2001-07-05,
2001-07-06,
2001-07-09,
2001-07-10,
2001-07-11,
2001-07-12,
2001-07-13,
2001-07-16,
2001-07-17,
2001-07-18,
2001-07-19,
2001-07-20,
2001-07-23,
2001-07-24,
2001-07-25,
2001-07-26,
2001-07-27,
2001-07-30,
2001-07-31,0.0
2001-08-01,0.0
2001-08-02,0.0
2001-08-03,-0.0
2001-08-06,0.0
2001-08-07,0.0
2001-08-08,0.0
2001-08-09,0.0
2001-08-10,0.0
2001-08-13,0.0
2001-08-14,0.0
2001-08-15,0.0
2001-08-16,0.0
2001-08-17,0.0
2001-08-20,0.0
2001-08-21,0.0
2001-08-22,0.0
2001-08-23,0.0
2001-08-24,0.0
2001-08-27,0.0
2001-08-28,0.0
2001-08-29,0.0
2001-08-30,0.0
2001-08-31,0.0
2001-09-04,0.0
2001-09-05,0.0
2001-09-06,0.0
2001-09-07,0.0
2001-09-10,0.0
2001-09-17,0.0
2001-09-18,0.0
2001-09-19,0.0
2001-09-20,0.000125679401584582
2001-09-21,0.01116985777330205
2001-09-24,0.07641360945373504
2001-09-25,0.08077442419904149
2001-09-26,0.08222651794297792
2001-09-27,0.08612651579999507
2001-09-28,0.11239953881894879
2001-10-01,0.11544362942498082
2001-10-02,0.12040409549395238
2001-10-03,0.12911063272347506
2001-10-04,0.12947503737471178
2001-10-05,0.134693416192125
2001-10-08,0.13724718078139297
2001-10-09,0.1393399780338962
2001-10-10,0.1540594354409842
2001-10-11,0.17226768522970795
2001-10-12,0.17484285772037234
2001-10-15,0.1753991939493322
2001-10-16,0.17917131815568804
2001-10-17,0.18907614847482346
2001-10-18,0.1912917795730987
2001-10-19,0.19129206263807616
2001-10-22,0.19735986641757872
2001-10-23,0.19979086401194415
2001-10-24,0.2042497096369769
2001-10-25,0.2115325199603344
2001-10-26,0.21190594127836193
2001-10-29,0.22277678046534136
2001-10-30,0.2289427780139195
2001-10-31,0.22987510140753367
2001-11-01,0.23585576380427883
2001-11-02,0.23554859733656286
2001-11-05,0.23849982406881617
2001-11-06,0.2408366193148077
2001-11-07,0.24508033887716105
2001-11-08,0.24547160689307945
2001-11-09,0.24629240804952782
