ticker,date,close,shares,exposure,sharetrades,tradevalue,commission,interest,short_borrow_cost,margin_call
GLD,2001-07-02,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-02,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-02,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-03,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-03,36.49999999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-03,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-03,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-03,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-03,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-05,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-05,36.11299999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-05,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-05,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-05,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-05,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-06,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-06,35.14599999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-06,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-06,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-06,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-06,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-09,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-09,35.37199999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-09,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-09,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-09,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-09,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-10,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-10,34.91999999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-10,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-10,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-10,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-10,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-11,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-11,34.95299999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-11,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-11,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-11,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-11,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-12,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-12,35.79099999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-12,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-12,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-12,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-12,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-13,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-13,35.95199999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-13,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-13,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-13,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-13,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-16,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-16,35.53299999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-16,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-16,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-16,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-16,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-17,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-17,35.951999999999956,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-17,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-17,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-17,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-17,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-18,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-18,35.56499999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-18,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-18,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-18,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-18,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-19,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-19,35.79099999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-19,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-19,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-19,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-19,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-20,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-20,35.79099999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-20,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-20,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-20,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-20,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-23,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-23,35.17799999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-23,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-23,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-23,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-23,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-24,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-24,34.66199999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-24,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-24,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-24,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-24,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-25,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-25,35.113999999999955,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-25,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-25,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-25,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-25,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-26,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-26,35.56499999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-26,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-26,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-26,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-26,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-27,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-27,35.62999999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-27,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-27,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-27,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-27,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-30,0,0,100000,0,-0,0,-0,0,FALSE
VTI,2001-07-30,35.59699999999995,0,0,0,0,0,0,-0,FALSE
TLT,2001-07-30,0,0,0,0,0,0,0,-0,FALSE
GLD,2001-07-30,0,0,0,0,0,0,0,-0,FALSE
VIXY,2001-07-30,0,0,0,0,0,0,0,-0,FALSE
SVXY,2001-07-30,0,0,0,0,0,0,0,-0,FALSE
Cash,2001-07-31,0,0,100000,0,-0,0,-0,0,FALSE
